time,dvv_mean,err_mean,npairs_used
2019-01-11 12:00:00+00:00,0.038445549082969675,0.1019897775385915,6
2019-01-12 12:00:00+00:00,0.04864829371387552,0.09724969136044251,6
2019-01-13 12:00:00+00:00,0.0026281465032119504,0.10772785287296281,6
2019-01-14 12:00:00+00:00,-0.007023787947221791,0.09914663674427167,6
2019-01-15 12:00:00+00:00,0.021024581920261038,0.1133316545475995,6
2019-01-16 12:00:00+00:00,-0.06335525292548054,0.10573516069262479,6
2019-01-17 12:00:00+00:00,-0.034209315115722685,0.10860173564930922,6
2019-01-18 12:00:00+00:00,-0.030909814514542534,0.11138933816769506,6
2019-01-19 12:00:00+00:00,-0.0756890596992157,0.11396058553791848,6
2019-01-20 12:00:00+00:00,-0.08043841193810121,0.11173856581319914,6
2019-01-21 12:00:00+00:00,-0.12783375960261034,0.11522336901146296,6
2019-01-22 12:00:00+00:00,-0.11281013120115171,0.11129511397931616,6
2019-01-23 12:00:00+00:00,-0.11551574622378505,0.11235338807095656,6
2019-01-24 12:00:00+00:00,-0.1057275514297147,0.12093178466162155,6
2019-01-25 12:00:00+00:00,-0.055786169816172744,0.11672640051620127,6
2019-01-26 12:00:00+00:00,-0.04948653120587967,0.12182029352225723,6
2019-01-27 12:00:00+00:00,-0.05828690166048613,0.12367607717944731,6
2019-01-28 12:00:00+00:00,-0.10816527453666175,0.12755160429043666,6
2019-01-29 12:00:00+00:00,-0.13220022877863757,0.1355168032664585,6
2019-01-30 12:00:00+00:00,-0.1505565851941155,0.13199013921073044,6
2019-01-31 12:00:00+00:00,-0.16126372216696552,0.1289055295442219,6
2019-02-01 12:00:00+00:00,-0.08952962445417777,0.12765561441771206,6
2019-02-02 12:00:00+00:00,-0.13900723289612812,0.13000750473371628,6
2019-02-03 12:00:00+00:00,-0.10437311959300556,0.13817834385568606,6
2019-02-04 12:00:00+00:00,-0.07612055017321588,0.1366462399499861,6
2019-02-05 12:00:00+00:00,0.029009126221472076,0.15369944725009493,6
2019-02-06 12:00:00+00:00,0.13648725181422477,0.14499644600986353,6
2019-02-07 12:00:00+00:00,0.014382319393004725,0.1430500408135444,6
2019-02-08 12:00:00+00:00,0.06715659180877181,0.14348197230297907,6
2019-02-09 12:00:00+00:00,-0.08202338447210732,0.13451426745936354,6
2019-02-10 12:00:00+00:00,0.03526717190944204,0.1386819444715001,6
2019-02-11 12:00:00+00:00,-0.021515091205366106,0.1345638381672591,6
2019-02-12 12:00:00+00:00,-0.05606940869362648,0.14259696378388317,6
2019-02-13 12:00:00+00:00,-0.06469330155376779,0.13842638813828873,6
